study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Komoroski2009	SAD_DAP10	6.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	368.0	NA	NA	NA	NA	20.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP10	6.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	1.5	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP10	6.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	3.0	NA	NA	0.87	NA	NA	hr	NA
Komoroski2009	SAD_DAP10	6.0	DAP10	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	3.2	NA	NA	1.39	NA	NA	percent	NA
Komoroski2009	SAD_DAP10	6.0	DAP10	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	13.93	NA	NA	4.84	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	269.0	NA	NA	NA	NA	18.0	ng/ml	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	977.0	NA	NA	NA	NA	23.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	8.51	NA	NA	6.92	NA	NA	hr	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	0.61	NA	NA	0.16	NA	NA	percent	NA
Komoroski2009	SAD_DAP20	6.0	DAP20	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	2.17	NA	NA	0.78	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	600.0	NA	NA	NA	NA	21.0	ng/ml	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	2004.0	NA	NA	NA	NA	16.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	1.5	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	11.96	NA	NA	7.36	NA	NA	hr	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	0.72	NA	NA	0.17	NA	NA	percent	NA
Komoroski2009	SAD_DAP50	6.0	DAP50	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.03	NA	NA	0.78	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1112.0	NA	NA	NA	NA	32.0	ng/ml	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	4363.0	NA	NA	NA	NA	15.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.25	1.0	1.5	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	15.93	NA	NA	15.8	NA	NA	hr	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.04	NA	NA	0.21	NA	NA	percent	NA
Komoroski2009	SAD_DAP100	6.0	DAP100	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.03	NA	NA	0.96	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	2510.0	NA	NA	NA	NA	31.0	ng/ml	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	13337.0	NA	NA	NA	NA	28.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.5	1.0	2.0	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	17.33	NA	NA	19.75	NA	NA	hr	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.54	NA	NA	0.4	NA	NA	percent	NA
Komoroski2009	SAD_DAP250	5.0	DAP250	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.99	NA	NA	0.91	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP500	6.0	DAP500	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	4734.0	NA	NA	NA	NA	40.0	ng/ml	NA
Komoroski2009	SAD_DAP500	6.0	DAP500	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	25518.0	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP500	6.0	DAP500	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.5	1.0	2.0	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP500	6.0	DAP500	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	19.04	NA	NA	7.01	NA	NA	hr	NA
Komoroski2009	SAD_DAP500	4.0	DAP500	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.17	NA	NA	0.54	NA	NA	percent	NA
Komoroski2009	SAD_DAP500	4.0	DAP500	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.06	NA	NA	1.28	NA	NA	ml/min	NA
